"dataset","arm","x_min","x_max","n_negative","w_nec4param","w_zero_asymptote","top_model","top_weight","w_failing_rhat","w_failing_ess","estimate","value","lower","upper"
"r_salina","gamma",0.01,20,20,0.0360337390852764,3.23336584503902e-93,"ecxwb1",0.869415043206017,0,0.0648320056881904,"ErC50",5.15936319236363,5.01933999843078,5.22223034334274
"r_salina","gamma",0.01,20,20,0.0360337390852764,3.23336584503902e-93,"ecxwb1",0.869415043206017,0,0.0648320056881904,"NSEC",1.62871386826305,0.756713616929195,4.8292823264543
"r_salina","measured",0.01,20,20,0.240452004332788,4.25890561636714e-60,"ecxwb1",0.424577575427972,1.26735207866226e-60,0.524449350077143,"ErC10",4.25541809849687,3.58807901579898,4.9098890766319
"r_salina","measured",0.01,20,20,0.240452004332788,4.25890561636714e-60,"ecxwb1",0.424577575427972,1.26735207866226e-60,0.524449350077143,"ErC50",5.06664523487914,5.01074482800951,5.17237619121403
"r_salina","measured",0.01,20,20,0.240452004332788,4.25890561636714e-60,"ecxwb1",0.424577575427972,1.26735207866226e-60,0.524449350077143,"NSEC",3.25143191975532,1.28307192300689,4.835137872209
"r_salina2","beta",0.1,1000,21,0.286716292287427,8.7151707277627e-14,"ecxwb2",0.430167970173256,0,0,"ErC10",76.4282028959307,62.2218483383548,91.8963281855861
"r_salina2","beta",0.1,1000,21,0.286716292287427,8.7151707277627e-14,"ecxwb2",0.430167970173256,0,0,"ErC50",109.117373393098,102.614942487795,117.518506422808
"r_salina2","beta",0.1,1000,21,0.286716292287427,8.7151707277627e-14,"ecxwb2",0.430167970173256,0,0,"NSEC",62.5990189716421,32.2217578602968,87.9102987104246
"r_salina2","censored",0.1,1000,21,0.894422186303312,1.65795778603893e-33,"nec4param",0.894422186303312,7.93339016193808e-34,0.000744227904235723,"ErC10",63.3976201588857,48.9520701033664,73.3471283305984
"r_salina2","censored",0.1,1000,21,0.894422186303312,1.65795778603893e-33,"nec4param",0.894422186303312,7.93339016193808e-34,0.000744227904235723,"ErC50",116.095657373457,108.423451325634,123.365639831678
"r_salina2","censored",0.1,1000,21,0.894422186303312,1.65795778603893e-33,"nec4param",0.894422186303312,7.93339016193808e-34,0.000744227904235723,"NSEC",56.2972759457764,41.648414723917,66.1243454379416
"r_salina2","deleted",0.1,1000,21,0.0880421017164817,0.59831647896036,"ecxwb2p3",0.196722812282384,0,0.0276579233215933,"ErC10",75.0956989432874,56.9036853548784,91.7599020950828
"r_salina2","deleted",0.1,1000,21,0.0880421017164817,0.59831647896036,"ecxwb2p3",0.196722812282384,0,0.0276579233215933,"ErC50",109.058881236706,102.999923536174,116.006002920959
"r_salina2","deleted",0.1,1000,21,0.0880421017164817,0.59831647896036,"ecxwb2p3",0.196722812282384,0,0.0276579233215933,"NSEC",61.9211694517327,32.4320668832543,89.4543392214458
"r_salina2","floored",0.1,1000,21,0.124265348700856,0.437415987366768,"ecxwb2p3",0.186254599840826,0,0.00993765875124878,"ErC10",73.3012085206376,57.2026225133039,89.2590024023631
"r_salina2","floored",0.1,1000,21,0.124265348700856,0.437415987366768,"ecxwb2p3",0.186254599840826,0,0.00993765875124878,"ErC50",109.808477364461,105.108211562186,116.077333589844
"r_salina2","floored",0.1,1000,21,0.124265348700856,0.437415987366768,"ecxwb2p3",0.186254599840826,0,0.00993765875124878,"NSEC",57.7842660748865,24.528058416868,86.3023162070533
"r_salina2","gamma",0.1,1000,21,0.225999300588273,5.71442409949081e-05,"ecxwb1",0.319733488652012,0,0,"ErC10",58.7202872071599,19.3317999364082,96.1618639766746
"r_salina2","gamma",0.1,1000,21,0.225999300588273,5.71442409949081e-05,"ecxwb1",0.319733488652012,0,0,"ErC50",107.937088548831,87.3501118338319,120.016405043703
"r_salina2","gamma",0.1,1000,21,0.225999300588273,5.71442409949081e-05,"ecxwb1",0.319733488652012,0,0,"NSEC",62.6606212054451,15.0493431991858,96.1389986453279
"r_salina2","measured",0.1,1000,21,0.894472761792896,7.42346718904716e-22,"nec4param",0.894472761792896,2.01967275943449e-22,2.01967275943449e-22,"ErC10",27.8621505089189,21.6498459284784,52.0800008921445
"r_salina2","measured",0.1,1000,21,0.894472761792896,7.42346718904716e-22,"nec4param",0.894472761792896,2.01967275943449e-22,2.01967275943449e-22,"ErC50",123.767543247626,110.917451425807,141.185622056927
"r_salina2","measured",0.1,1000,21,0.894472761792896,7.42346718904716e-22,"nec4param",0.894472761792896,2.01967275943449e-22,2.01967275943449e-22,"NSEC",25.1448086864695,10.0263341203487,44.1068764410881
