"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"d8","beta","ErC50",3.33617149040127,100,100,-0.105099219604464,0.013959083019944,-3.15029427914161,0.17417402170955,0.97,0.017058722109232,0.926845558807635,8,2,2.3,0.096,"none"
"d8","censored","ErC50",3.33617149040127,100,100,0.0188527002756689,0.0128756205761265,0.565099855625267,0.129490552645748,0.97,0.017058722109232,0.558243629992407,8,2,2.3,0.096,"none"
"d8","deleted","ErC50",3.33617149040127,100,100,-0.0341723451721281,0.014218320440633,-1.02429821939453,0.145539177384176,0.96,0.0195959179422654,0.599541577985829,8,2,2.3,0.096,"none"
"d8","floored","ErC50",3.33617149040127,100,100,-0.0658612984574418,0.0147820535342324,-1.97415806252574,0.161152450172818,0.91,0.0286181760425084,0.556491563439365,8,2,2.3,0.096,"none"
"d8","gamma","ErC50",3.33617149040127,100,100,0.154036112601615,0.0155681545889379,4.61715211717392,0.218452512639747,0.84,0.0366606055596467,1.24329008873193,8,2,2.3,0.096,"none"
"d8","measured","ErC50",3.33617149040127,100,100,0.0368455504942489,0.0109490606501353,1.10442615435867,0.115003937211463,0.95,0.0217944947177034,0.475525640131651,8,2,2.3,0.096,"none"
"p1","beta","ErC50",5.0532895646328,100,100,-0.224507039050164,0.0221542103602361,-4.44278991295995,0.31463233339081,0.99,0.0099498743710662,1.55707610924787,4,2,2.3,0.096,"none"
"p1","censored","ErC50",5.0532895646328,100,100,-0.0340666891112287,0.0202237096002078,-0.674148763404659,0.204086706760536,0.97,0.017058722109232,0.924062121588506,4,2,2.3,0.096,"none"
"p1","deleted","ErC50",5.0532895646328,100,100,-0.119198344137208,0.0237683972261261,-2.35882671302787,0.264833870961109,0.95,0.0217944947177034,0.996806599879148,4,2,2.3,0.096,"none"
"p1","floored","ErC50",5.0532895646328,100,100,-0.173027084191387,0.0235870018624637,-3.42404847334254,0.291576217982366,0.85,0.0357071421427143,0.883506709643678,4,2,2.3,0.096,"none"
"p1","gamma","ErC50",5.0532895646328,100,100,0.217885359410907,0.0354242182595181,4.31175290123593,0.414375045744938,0.9,0.03,2.3384149047633,4,2,2.3,0.096,"none"
"p1","measured","ErC50",5.0532895646328,100,100,-0.0225113638971353,0.0168906800637738,-0.44547939731554,0.169561120936284,1,0,0.861465820016575,4,2,2.3,0.096,"none"
"p2","beta","ErC50",5.0532895646328,100,100,-0.222570266479171,0.0165632318316418,-4.40446294700598,0.276942679525514,1,0,1.29056462762292,4,2,3.3,0.0669719164461943,"none"
"p2","censored","ErC50",5.0532895646328,100,100,-0.0320174420443511,0.0139713823422767,-0.633596029573216,0.142652968864715,0.99,0.0099498743710662,0.671199114579583,4,2,3.3,0.0669719164461943,"none"
"p2","deleted","ErC50",5.0532895646328,100,100,-0.0879017673609948,0.0148763187163743,-1.73949595083974,0.172150810923882,0.98,0.014,0.737272238033954,4,2,3.3,0.0669719164461943,"none"
"p2","floored","ErC50",5.0532895646328,100,100,-0.157405524288793,0.0152135754665731,-3.11491202464331,0.218381166875406,0.87,0.0336303434416005,0.674584388821839,4,2,3.3,0.0669719164461943,"none"
"p2","gamma","ErC50",5.0532895646328,100,100,0.11504282833542,0.0226083038384231,2.27659283846678,0.252660359364124,0.91,0.0286181760425084,1.55702284529313,4,2,3.3,0.0669719164461943,"none"
