"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"p3","censored","ErC10",2.01968716248917,24,24,0.0148598862523155,0.0224956810996436,0.735751879216848,0.108904070569376,0.833333333333333,0.0760725774312731,0.354380236870315,4,2,17,0.0282221160540261,"none"
"p3","deleted","ErC10",2.01968716248917,22,22,-0.005397619349095,0.0220045323482983,-0.267250267731696,0.100981793487,0.818181818181818,0.0822303667030264,0.354054861119661,4,2,17,0.0282221160540261,"none"
"p3","floored","ErC10",2.01968716248917,25,25,0.00723535732007496,0.0197304274990872,0.358241486823025,0.0969293807814269,0.84,0.0733212111192934,0.430843321347022,4,2,17,0.0282221160540261,"none"
"p3","gamma","ErC10",2.01968716248917,24,24,-0.447427040099373,0.0817790533772157,-22.1532843506288,0.594987956475907,0.166666666666667,0.0760725774312731,0.586336100503525,4,2,17,0.0282221160540261,"none"
"p3","measured","ErC10",2.01968716248917,22,22,0.026650356330209,0.0236466322766183,1.31952892631964,0.11159152777458,0.772727272727273,0.089346067398511,0.275761715069425,4,2,17,0.0282221160540261,"none"
"p4","beta","ErC10",2.01968716248917,25,25,0.188672772289904,0.0137400366261479,9.34168299893402,0.200320596942169,0.48,0.0999199679743744,0.399137101212106,4,2,73,0.0186365299331132,"none"
"p4","censored","ErC10",2.01968716248917,23,23,0.00975821997259363,0.00843776876523356,0.483155022907958,0.0407619132918911,0.956521739130435,0.0425225779932022,0.216685160968278,4,2,73,0.0186365299331132,"none"
"p4","deleted","ErC10",2.01968716248917,22,22,0.00138516670909583,0.00938722739364413,0.0685832308499045,0.0430399754617916,1,0,0.238632355950194,4,2,73,0.0186365299331132,"none"
"p4","floored","ErC10",2.01968716248917,25,25,0.00432284385726289,0.00842003733147884,0.214035318813197,0.0414754827209788,1,0,0.252032967863199,4,2,73,0.0186365299331132,"none"
"p4","gamma","ErC10",2.01968716248917,23,23,-0.507353643142956,0.0603731157170586,-25.1204073861452,0.58102995399627,0,0,0.270790716812189,4,2,73,0.0186365299331132,"none"
